"song_name","artist_name","album_name","duration_ms"
"""Sajde - From """"Lost;Found""""""","Faheem Abdullah","""Sajde (From """"Lost;Found"""")""","460833"
"Hamari Adhuri Kahani (Title Track)","Jeet Gannguli","Hamari Adhuri Kahani (Original Motion Picture Soundtrack)","398799"
"Bekhayali (Arijit Singh Version)","Sachet-Parampara","Kabir Singh","370444"
"Safar","Pritam","Jab Harry Met Sejal (Original Motion Picture Soundtrack)","365669"
"""Dil Ka Kya (From """"Metro ... In Dino"""")""","Pritam","""Dil Ka Kya (From """"Metro ... In Dino"""")""","360063"
"""Tere Hawaale (From """"Laal Singh Chaddha"""")""","Pritam","""Tere Hawaale (From """"Laal Singh Chaddha"""")""","346290"
"Qaafirana","Amit Trivedi","Kedarnath (Original Motion Picture Soundtrack)","341823"
"Agar Tum Saath Ho","A.R. Rahman","Tamasha","341054"
"""Chal Ghar Chalen (From """"Malang - Unleash The Madness"""") [Mithoon feat. Arijit Singh]""","Mithoon","""Chal Ghar Chalen (From """"Malang - Unleash The Madness"""") [Mithoon feat. Arijit Singh]""","340671"
"""Zaroorat Se Zyada - From """"Vedaa""""""","Amaal Mallik","Zaroorat Se Zyada","336000"
