"artist_name","song_count"
"Pritam","25"
"Arijit Singh","16"
"Mithoon","5"
"Sachin-Jigar","3"
"A.R. Rahman","3"
"Shaarib Toshi","2"
"Himesh Reshammiya","2"
"Amit Trivedi","2"
"Guru Randhawa","2"
"Manan Bhardwaj","2"
"Tanishk Bagchi","2"
"Jeet Gannguli","2"
"Javed-Mohsin","1"
"Faheem Abdullah","1"
"Afsana Khan","1"
"Anirudh Ravichander","1"
"Shaan","1"
"Sushant KC","1"
"White Noise Collectives","1"
"Josh Brar","1"
"Amaal Mallik","1"
"Aditya Rikhari","1"
"Sachet-Parampara","1"
"Jasleen Royal","1"
"Himonshu Parikh","1"
"Jubin Nautiyal","1"
"Ram Sampath","1"
"Badshah","1"
"Shankar-Ehsaan-Loy","1"
